brand,category1,category2,category3,category4,price,pro_index,product
Nona Lim ,Grocery,Pantry,Soup & Meals,Instant,6.99,29,"Noodle Bowl, Dan Dan"
Snow Monkey ,Frozen,Ice Cream & Treats,Non-Dairy & Soy,,5.99,29,"Superfood Ice Treat, Açai Berry"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Green Garbanzos + Corn + Coriander"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Kidney Beans + Carrots + Tamarind"
Good Catch ,Grocery,Pantry,Canned Goods,Tuna & Seafood,4.99,29,"Fish-Free Tuna, Oil & Herbs"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.79,29,"Organic Coconut-Milk Protein Elixir, Vanilla Spice, Plastic Bottle"
Miyoko's ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,9.99,29,Classic Vegan Mozzarella
Milkadamia ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,4.99,29,"Macadamia Milk, Unsweetened Vanilla, Carton"
Milkadamia ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,4.99,29,"Macadamia Milk, Latte Da Barista, Carton"
Snow Monkey ,Frozen,Ice Cream & Treats,Non-Dairy & Soy,,5.99,29,"Superfood Ice Treat, Cacao"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Green Split Peas + Spinach + Coconut"
Lavva ,Dairy,Yogurt,Non-Dairy,,2.49,29,"Whole Food Plant-Based Yogurt, Raspberry"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.79,29,"Organic Coconut-Milk Protein Elixir, Dark Chocolate, Plastic Bottle"
Miyoko's ,Dairy,Butter & Margarine,Margarine,,7.99,29,European Style Cultured Vegan Butter
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,5.99,29,"Almond Milk, Holiday Nog, Plastic Bottle"
JUST ,Dairy,Eggs,Egg Products,,7.99,29,Plant-Based Egg Scramble
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.99,29,"Organic Probiotic Shake, Strawberry & Banana, Plastic Bottle"
Lavva ,Dairy,Yogurt,Non-Dairy,,2.49,29,"Whole Food Plant-Based Yogurt, Original"
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.99,29,"Organic Probiotic Shake, Banana & Date, Plastic Bottle"
Good Catch ,Grocery,Pantry,Canned Goods,Tuna & Seafood,4.99,29,"Fish-Free Tuna, Naked in Water"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Red Lentil + Butternut Squash + Coconut"
Coffee-Mate ,Dairy,Cream & Creamers,Creamers,,3.59,29,"Non-Dairy Coffee Creamer, Coconut Caramel Latte"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Almond,5.99,29,"Milked Almonds, Unsweetened, Carton"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,4.99,29,"Almond Milk Coffee Creamer, Pumpkin Spice"
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.99,29,"Organic Protein Plant Shake, Nuts & Chocolate, Plastic Bottle"
Soy Dream ,Dairy,"Milk, Plant-Based ",Soy,,3.29,29,"Original, Enriched, Carton"
Aloha ,Grocery,Pantry,Snacks,Bars,2.99,29,"Organic Plant-Based Protein Bar, Chocolate Mint"
Oatly ,Dairy,"Milk, Plant-Based ",Other,,33.54,29,"Oatmilk, Original, Cartons"
WestSoy ,Dairy,"Milk, Plant-Based ",Soy,,,29,"Organic Unsweetened Non-Dairy Soymilk, Cartons"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Barista Blend, Cartons"
Chobani ,Dairy,"Milk, Plant-Based ",Other,,3.99,29,"Oat Drink, Chocolate, Carton"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Vanilla, Plastic Bottles"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Toasted Coconut, Plastic Bottles"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,,29,"Coconut-Milk Elixir, Matcha Latte, Plastic Bottles"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,,29,"Organic Soymilk, Unsweetened, Cartons"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"PureAlmond All-Natural Almond Milk, Original, Cartons"
Vega ,Grocery,Pantry,Snacks,Bars,21.99,29,"Plant-Based Protein Snack Bars, Chocolate Peanut Butter"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,,29,"Better Half Coconut Cream & Almond Milk, Unsweetened"
Kite Hill ,Dairy,Packaged Cheese,Cream Cheese,,7.99,29,"Almond Milk Cream Cheese Style Spread, Everything"
Aloha ,Grocery,Pantry,Snacks,Bars,2.99,29,"Organic Plant-Based Protein Bar, Chocolate Fudge Brownie"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"PureAlmond All-Natural Unsweetened Almond Milk, Vanilla, Cartons"
Siggi's ,Dairy,Yogurt,Non-Dairy,,2.19,29,"Plant-Based Coconut Blend Yogurt, Mango"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Unsweetened Vanilla, Plastic Bottles"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Almond,5.99,29,"Milked Almonds, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"PureAlmond All-Natural Almond Milk, Unsweetened, Cartons"
Miyoko's ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,11.59,29,"Vegan Cheese Wheel, Double Cream Chive"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Unsweetened, Plastic Bottles"
Miyoko's ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,11.59,29,"Vegan Cheese Wheel, Garlic Herb"
Siggi's ,Dairy,Yogurt,Non-Dairy,,2.19,29,"Plant-Based Coconut Blend Yogurt, Vanilla & Cinnamon"
BluePrint ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,7.99,29,"Organic Non-Dairy Cashewmilk, Nut & Bolt, Plastic Bottle"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,5.99,29,"Milked Cashews, Unsweetened, Carton"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.79,29,"Organic Coconut-Milk Protein Elixir, Cold Brew Coffee, Plastic Bottle"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,5.99,29,"Milked Walnuts, Unsweetened, Carton"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.99,29,"Organic Coconut-Milk Protein Elixir, Banana Nut, Plastic Bottle"
Vita Coco ,Dairy,"Milk, Plant-Based ",Nut,Coconut,29.94,29,"Coconutmilk, Original, Plastic Bottles"
Silk ,Dairy,"Milk, Plant-Based ",Other,,31.74,29,"Oat Yeah Oatmilk, Plain, Cartons"
Lavva ,Dairy,Yogurt,Non-Dairy,,29.88,29,"Whole Food Plant-Based Yogurt, Raspberry"
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,29.94,29,"Organic Probiotic Shake, Strawberry & Banana, Plastic Bottles"
Vega ,Grocery,Health & Beauty,Diet & Nutrition,Powders,69.99,29,"Plant-Based One Organic All-in-One Shake, Plain Unsweetened"
Lavva ,Dairy,Yogurt,Non-Dairy,,29.88,29,"Whole Food Plant-Based Yogurt, Original"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,29.94,29,"Almond Milk Coffee Creamer, Vanilla"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,34.68,29,"Almond Breeze Almond Milk, Vanilla, Cartons"
Califia Farms ,Dairy,"Milk, Plant-Based ",Other,,29.94,29,"Oatmilk, Unsweetened, Plastic Bottles"
Vega ,Grocery,Health & Beauty,Vitamins & Supplements,Supplements,29.99,29,"Plant-Based Sport Hydrator Powder, Lemon Lime"
Vega ,Grocery,Health & Beauty,Vitamins & Supplements,Supplements,49.99,29,"Plant-Based Sport Energizer Powder, Strawberry Lemonade"
Soy Dream ,Dairy,"Milk, Plant-Based ",Soy,,,29,"Original, Enriched, Cartons"
Oatly ,Dairy,"Milk, Plant-Based ",Other,,33.54,29,"Low-Fat Oatmilk, Cartons"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,34.68,29,"Almond Breeze Almond Milk, Unsweetened Original, Cartons"
Rice Dream ,Dairy,"Milk, Plant-Based ",Rice,,,29,"Vanilla, Enriched, Cartons"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,,29,"Better Half Coconut Cream & Almond Milk, Original"
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,29.94,29,"Organic Probiotic Shake, Banana & Date, Plastic Bottles"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,34.68,29,"Almond Breeze Almond Milk, Unsweetened Vanilla, Cartons"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"PureAlmond All-Natural Almond Milk, Vanilla, Cartons"
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,29.94,29,"Organic Protein Plant Shake, Nuts & Chocolate, Plastic Bottles"
Silk ,Dairy,Cream & Creamers,Plant-Based,,,29,"Soy Creamer, Vanilla"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Almond,35.94,29,"Milked Almonds, Unsweetened, Cartons"
So Delicious ,Dairy,"Milk, Plant-Based ",Nut,Coconut,,29,"Dairy Free Coconutmilk Beverage, Unsweetened, Cartons"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,,29,"Coconut-Milk Elixir, Maca Mocha, Plastic Bottles"
Rice Dream ,Dairy,"Milk, Plant-Based ",Rice,,,29,"Original, Enriched, Cartons"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,,29,"Coconut-Milk Elixir, Reishi Chocolate, Plastic Bottles"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,,29,"Soymilk, Vanilla, Cartons"
Chobani ,Dairy,"Milk, Plant-Based ",Other,,3.99,29,"Oat Drink, Vanilla, Carton"
Chobani ,Dairy,"Milk, Plant-Based ",Other,,3.99,29,"Oat Drink, Plain, Carton"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,,29,"Milked Hazelnuts, Unsweetened, Cartons"
Vega ,Grocery,Health & Beauty,Diet & Nutrition,Powders,,29,"Plant-Based Protein Smoothie Powder, Berry"
Aloha ,Grocery,Pantry,Snacks,Bars,,29,"Organic Plant-Based Protein Bar, Peanut Butter Chocolate Chip"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Breeze Almond Milk, Unsweetened Vanilla, Boxes"
Vega ,Grocery,Health & Beauty,Diet & Nutrition,Powders,,29,"Plant-Based Protein & Greens Powder, Chocolate"
Vega ,Grocery,Health & Beauty,Diet & Nutrition,Powders,,29,"Plant-Based Protein & Greens Powder, Vanilla"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Breeze Almond Milk, Chocolate, Boxes"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,,29,"Milked Hazelnuts, Unsweetened, Carton"
Vega ,Grocery,Health & Beauty,Diet & Nutrition,Powders,,29,"Plant-Based Protein Smoothie, Chocolate"
Pacific ,Dairy,"Milk, Plant-Based ",Other,,,29,"Hemp Non-Dairy Beverage, Unsweetened Original, Carton"
Kite Hill ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,,29,Non-Dairy Ricotta Cheese
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Breeze Almond Milk, Vanilla, Boxes"
Vega ,Grocery,Health & Beauty,Diet & Nutrition,Powders,,29,"Plant-Based Protein Smoothie, Vanilla"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Breeze Almond Milk, Unsweetened Vanilla, Boxes"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Breeze Almond Milk, Chocolate, Boxes"
Oatly ,Dairy,"Milk, Plant-Based ",Other,,,29,"Oatmilk, Chocolate, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,35.88,29,"Soymilk, Plain, Cartons"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,59.88,29,"Organic Coconut-Milk Protein Elixir, Banana Nut, Plastic Bottles"
Forager ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,35.94,29,"Organic Cashewmilk, Unsweetened, Plastic Bottles"
Vega ,Grocery,Health & Beauty,Vitamins & Supplements,Supplements,39.99,29,"Plant-Based Sport Recovery Powder, Tropical"
Silk ,Dairy,Cream & Creamers,Plant-Based,,32.28,29,"Soy Creamer, Original"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,25.74,29,"Protein and Nutmilk Almond Cashewmilk, Original, Cartons"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,35.94,29,"Milked Walnuts, Unsweetened, Cartons"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Coconut,25.74,29,"All Natural Coconutmilk, Original, Cartons"
Lavva ,Dairy,Yogurt,Non-Dairy,,29.88,29,"Whole Food Plant-Based Yogurt, Strawberry"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,35.94,29,"Milked Cashews, Unsweetened, Cartons"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,29.94,29,"Almond Milk, Toasted Oats n' Almond, Plastic Bottles"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Almond,35.94,29,"Milked Almonds, Cartons"
Kite Hill ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,7.99,35,"Almond Milk Cream Cheese Style Spread, Chive"
Vega Sport ,Grocery,Health & Beauty,Diet & Nutrition,Powders,54.99,35,"Premium Protein Powder, Vanilla"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,4.29,35,"Protein and Nutmilk Almond Cashewmilk, Original, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,2.99,35,"Soymilk, Plain, Carton"
Beyond Meat ,Frozen,Meat Alternatives,Bacon & Sausage,,9.99,35,"Beyond Sausage, Hot Italian"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.99,35,"Almond Milk, Barista Blend, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,4.29,35,"Soymilk, Vanilla, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,4.29,35,"Soymilk, Plain, Carton"
